id,ccn,agencyId,date,createDate,updateDate,city,state,postalCode,blockizedAddress,incidentType,parentIncidentType,narrative,latitude,longitude
814979865,17-021913,85746,2017-08-09 06:58:24 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,OXFORD,GA,,GA HWY 142 N & US HWY 278 NE,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.5995,-83.8335
814979864,17-021914,85746,2017-08-09 07:10:39 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,10200 Block GA HWY 142 NE,CALLS-burglary alarm,Other ,CALLS-Burglary Alarm,33.609,-83.8274
814979863,17-021915,85746,2017-08-09 07:16:13 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,3100 Block SPRING ST NW & STONE MOUNTAIN ST NW,CALLS-suspicious,Quality of Life,CALLS-Suspicious,33.601,-83.8652
814979862,17-021916,85746,2017-08-09 07:19:44 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,9200 Block I 20 W,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.61483372631266,-83.84500622749329
814979861,17-021917,85746,2017-08-09 07:38:42 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,4100 Block WASHINGTON ST SW,CALLS-license/dwol,Traffic,CALLS-License/DWOL,33.5939764,-83.87112630000001
814979859,17-021919,85746,2017-08-09 07:49:43 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,14900 Block ALCOVY RD NE & INDUSTRIAL PARK BLVD NE,CALLS-citizen assist,Proactive Policing,CALLS-Citizen Assist,33.6255293,-83.8328146
814979858,17-021920,85746,2017-08-09 07:55:18 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:33 AM,COVINGTON,GA,,8100 Block WASHINGTON ST SW & FLAT SHOALS RD SW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.5869786,-83.87720739999997
814979857,17-021921,85746,2017-08-09 08:00:52 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:33 AM,COVINGTON,GA,,10300 Block INDUSTRIAL BLVD NE,CALLS-improper parked,Traffic,CALLS-Improper Parked,33.61111679516018,-83.82952451705933
814979856,17-021923,85746,2017-08-09 08:09:02 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:33 AM,COVINGTON,GA,,10100 Block INDUSTRIAL BLVD,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.6124,-83.8362
814979855,17-021922,85746,2017-08-09 08:12:21 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:33 AM,COVINGTON,GA,,10300 Block INDUSTRIAL BLVD NE,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.61111679516018,-83.82952451705933
814979854,17-021924,85746,2017-08-09 08:22:31 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:33 AM,COVINGTON,GA,,5100 Block US HWY 278 NW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.604726,-83.8707053
814979853,17-021925,85746,2017-08-09 08:25:13 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:33 AM,COVINGTON,GA,,3100 Block WEST ST NW,CALLS-assist ems,Proactive Policing,CALLS-assist ems,33.5999,-83.8675
814979852,17-021926,85746,2017-08-09 08:51:48 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:33 AM,COVINGTON,GA,,8900 Block US HWY 278 NE & GA HWY 142 NE,CALLS-traffic offense,Traffic,CALLS-Traffic Offense,33.59903566203337,-83.83422374725342
814948290,17-021811-AR,85746,2017-08-08 06:54:24 PM,2017-08-09 01:30:39 PM,2017-12-06 05:23:20 PM,COVINGTON,GA,,9300 Block TARA DR SW,ARREST-Clrd Juve Arst (One Incident),Other ,ARREST-Clrd Juve Arst (One Incident),33.5993,-83.887
814948289,17-021824,85746,2017-08-08 08:47:13 PM,2017-08-09 01:30:39 PM,2017-09-15 01:31:51 AM,COVINGTON,GA,,4100 Block EMORY ST NW & HERRING ST NW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.6048362,-83.86479480000003
814948288,17-021825,85746,2017-08-08 08:58:23 PM,2017-08-09 01:30:39 PM,2017-09-15 01:31:51 AM,COVINGTON,GA,,7100 Block PINE NEEDLE DR SW,CALLS-escort,Proactive Policing,CALLS-Escort,33.5805,-83.8628
814948287,17-021826,85746,2017-08-08 09:02:27 PM,2017-08-09 01:30:39 PM,2017-09-15 01:31:51 AM,COVINGTON,GA,,4100 Block EMORY ST NW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.60441519220784,-83.86417865753174
814948286,17-021827,85746,2017-08-08 09:08:03 PM,2017-08-09 01:30:39 PM,2017-09-15 01:31:51 AM,COVINGTON,GA,,8100 Block WASHINGTON ST SW & FLAT SHOALS RD SW,CALLS-traffic stop,Traffic,CALLS-Traffic Stop,33.5869786,-83.87720739999997
814948285,17-021828,85746,2017-08-08 09:08:10 PM,2017-08-09 01:30:39 PM,2017-09-15 01:31:51 AM,COVINGTON,GA,,8100 Block SPILLERS DR SW,CALLS-noise complaint,Quality of Life,CALLS-Noise Complaint,33.5881,-83.8813
814948284,17-021829,85746,2017-08-08 09:09:36 PM,2017-08-09 01:30:39 PM,2017-09-15 01:31:51 AM,COVINGTON,GA,,9100 Block SETTLERS GROVE RD NE,CALLS-civil matter,Proactive Policing,CALLS-Civil Matter,33.6067,-83.8324
814948283,17-021830,85746,2017-08-08 09:11:24 PM,2017-08-09 01:30:39 PM,2017-09-15 01:31:51 AM,COVINGTON,GA,,3100 Block US HWY 278 NE,CALLS-lockout,Proactive Policing,CALLS-Lockout,33.6045104,-83.8586133
